uid,uip,date,urlid
435,10.192.20.173,01/01/2014 00:06,2000
435,10.192.20.173,01/01/2014 06:19,1225
435,51.70.255.188,01/01/2014 08:02,1483
435,41.239.144.6,01/01/2014 08:29,2743
435,114.79.247.223,01/01/2014 08:45,2963
435,42.74.74.110,01/01/2014 10:03,2644
435,127.95.83.100,01/01/2014 11:24,3571
435,114.79.247.223,01/01/2014 14:13,3797
435,10.192.20.173,01/01/2014 17:21,2763
435,51.70.255.188,01/01/2014 18:50,4009
435,10.192.20.173,01/01/2014 19:34,3959
435,10.192.20.173,01/01/2014 21:53,3535
435,127.95.83.100,01/01/2014 22:48,1393
435,114.79.247.223,01/02/2014 01:35,3427
435,10.192.20.173,01/02/2014 02:37,3922
435,10.192.20.173,01/02/2014 05:52,1748
435,127.95.83.100,01/02/2014 05:54,2520
435,114.79.247.223,01/02/2014 06:08,2895
435,41.239.144.6,01/02/2014 07:47,825
435,114.79.247.223,01/02/2014 09:07,2005
435,67.141.120.237,01/02/2014 11:04,1706
435,51.70.255.188,01/02/2014 12:52,1691
435,10.192.20.173,01/02/2014 13:02,3084
435,104.45.191.227,01/02/2014 14:33,3231
435,114.79.247.223,01/02/2014 17:53,3843
435,10.192.20.173,01/02/2014 20:26,3540
435,42.74.74.110,01/02/2014 21:40,3107
435,51.70.255.188,01/02/2014 23:13,2833
435,104.45.191.227,01/03/2014 00:25,3159
435,68.17.81.83,01/03/2014 02:13,1325
435,68.17.81.83,01/03/2014 02:18,1648
435,68.17.81.83,01/03/2014 02:23,121
435,68.17.81.83,01/03/2014 02:28,438
435,68.17.81.83,01/03/2014 02:33,891
435,68.17.81.83,01/03/2014 02:38,1276
435,68.17.81.83,01/03/2014 02:43,1090
435,68.17.81.83,01/03/2014 02:48,335
435,68.17.81.83,01/03/2014 02:53,748
435,68.17.81.83,01/03/2014 02:58,1786
435,68.17.81.83,01/03/2014 03:03,1375
435,68.17.81.83,01/03/2014 03:08,797
435,68.17.81.83,01/03/2014 03:13,1318
435,68.17.81.83,01/03/2014 03:18,1634
435,68.17.81.83,01/03/2014 03:23,435
435,68.17.81.83,01/03/2014 03:28,365
435,68.17.81.83,01/03/2014 03:33,1205
435,68.17.81.83,01/03/2014 03:38,683
435,68.17.81.83,01/03/2014 03:43,435
435,68.17.81.83,01/03/2014 03:48,75
435,68.17.81.83,01/03/2014 03:53,465
435,68.17.81.83,01/03/2014 03:58,1014
435,68.17.81.83,01/03/2014 04:03,990
435,68.17.81.83,01/03/2014 04:08,803
435,68.17.81.83,01/03/2014 04:13,1052
435,68.17.81.83,01/03/2014 04:18,687
435,68.17.81.83,01/03/2014 04:23,1049
435,68.17.81.83,01/03/2014 04:28,307
435,68.17.81.83,01/03/2014 04:33,113
435,68.17.81.83,01/03/2014 04:38,893
435,68.17.81.83,01/03/2014 04:43,424
435,68.17.81.83,01/03/2014 04:48,1097
435,68.17.81.83,01/03/2014 04:53,285
435,68.17.81.83,01/03/2014 04:58,528
435,68.17.81.83,01/03/2014 05:03,438
435,68.17.81.83,01/03/2014 05:08,1439
435,68.17.81.83,01/03/2014 05:13,617
435,68.17.81.83,01/03/2014 05:18,1286
435,68.17.81.83,01/03/2014 05:23,2254
435,68.17.81.83,01/03/2014 05:28,24
435,68.17.81.83,01/03/2014 05:33,2464
435,68.17.81.83,01/03/2014 05:38,406
435,68.17.81.83,01/03/2014 05:43,377
435,68.17.81.83,01/03/2014 05:48,368
435,104.45.191.227,01/03/2014 05:48,3738
435,68.17.81.83,01/03/2014 05:53,908
435,68.17.81.83,01/03/2014 05:58,2013
435,68.17.81.83,01/03/2014 06:03,788
435,68.17.81.83,01/03/2014 06:08,687
435,68.17.81.83,01/03/2014 06:13,692
435,68.17.81.83,01/03/2014 06:18,438
435,68.17.81.83,01/03/2014 06:23,88
435,68.17.81.83,01/03/2014 06:28,853
435,68.17.81.83,01/03/2014 06:33,374
435,68.17.81.83,01/03/2014 06:38,315
435,68.17.81.83,01/03/2014 06:43,714
435,68.17.81.83,01/03/2014 06:48,844
435,68.17.81.83,01/03/2014 06:53,409
435,68.17.81.83,01/03/2014 06:58,300
435,68.17.81.83,01/03/2014 07:03,1201
435,68.17.81.83,01/03/2014 07:08,184
435,68.17.81.83,01/03/2014 07:13,1075
435,68.17.81.83,01/03/2014 07:18,1428
435,68.17.81.83,01/03/2014 07:23,359
435,68.17.81.83,01/03/2014 07:28,648
435,68.17.81.83,01/03/2014 07:33,1175
435,68.17.81.83,01/03/2014 07:38,151
435,68.17.81.83,01/03/2014 07:43,1241
435,68.17.81.83,01/03/2014 07:48,211
435,68.17.81.83,01/03/2014 07:53,501
435,68.17.81.83,01/03/2014 07:58,554
435,68.17.81.83,01/03/2014 08:03,782
435,68.17.81.83,01/03/2014 08:08,183
435,68.17.81.83,01/03/2014 08:13,2066
435,68.17.81.83,01/03/2014 08:18,639
435,68.17.81.83,01/03/2014 08:23,1816
435,68.17.81.83,01/03/2014 08:28,1830
435,68.17.81.83,01/03/2014 08:33,1564
435,68.17.81.83,01/03/2014 08:38,711
435,68.17.81.83,01/03/2014 08:43,1857
435,68.17.81.83,01/03/2014 08:48,141
435,68.17.81.83,01/03/2014 08:53,959
435,68.17.81.83,01/03/2014 08:58,709
435,68.17.81.83,01/03/2014 09:03,946
435,68.17.81.83,01/03/2014 09:08,1068
435,68.17.81.83,01/03/2014 09:13,241
435,68.17.81.83,01/03/2014 09:18,1666
435,68.17.81.83,01/03/2014 09:23,238
435,68.17.81.83,01/03/2014 09:28,270
435,68.17.81.83,01/03/2014 09:33,2138
435,68.17.81.83,01/03/2014 09:38,203
435,68.17.81.83,01/03/2014 09:43,1643
435,68.17.81.83,01/03/2014 09:48,1321
435,68.17.81.83,01/03/2014 09:53,771
435,10.192.20.173,01/03/2014 09:55,2924
435,68.17.81.83,01/03/2014 09:58,130
435,68.17.81.83,01/03/2014 10:03,684
435,68.17.81.83,01/03/2014 10:08,211
435,68.17.81.83,01/03/2014 10:13,377
435,68.17.81.83,01/03/2014 10:18,1278
435,68.17.81.83,01/03/2014 10:23,1155
435,68.17.81.83,01/03/2014 10:28,174
435,68.17.81.83,01/03/2014 10:33,283
435,68.17.81.83,01/03/2014 10:38,815
435,68.17.81.83,01/03/2014 10:43,759
435,68.17.81.83,01/03/2014 10:48,898
435,68.17.81.83,01/03/2014 10:53,804
435,68.17.81.83,01/03/2014 10:58,110
435,68.17.81.83,01/03/2014 11:03,151
435,68.17.81.83,01/03/2014 11:08,174
435,68.17.81.83,01/03/2014 11:13,1176
435,68.17.81.83,01/03/2014 11:18,408
435,68.17.81.83,01/03/2014 11:23,1103
435,68.17.81.83,01/03/2014 11:28,176
435,68.17.81.83,01/03/2014 11:33,898
435,68.17.81.83,01/03/2014 11:38,1713
435,68.17.81.83,01/03/2014 11:43,2136
435,68.17.81.83,01/03/2014 11:48,928
435,68.17.81.83,01/03/2014 11:53,1162
435,68.17.81.83,01/03/2014 11:58,731
435,68.17.81.83,01/03/2014 12:03,26
435,104.45.191.227,01/03/2014 12:04,878
435,68.17.81.83,01/03/2014 12:08,2177
435,68.17.81.83,01/03/2014 12:13,949
435,68.17.81.83,01/03/2014 12:18,212
435,68.17.81.83,01/03/2014 12:23,815
435,68.17.81.83,01/03/2014 12:28,1075
435,68.17.81.83,01/03/2014 12:33,1066
435,68.17.81.83,01/03/2014 12:38,1666
435,68.17.81.83,01/03/2014 12:43,854
435,68.17.81.83,01/03/2014 12:48,215
435,68.17.81.83,01/03/2014 12:53,2177
435,68.17.81.83,01/03/2014 12:58,1492
435,68.17.81.83,01/03/2014 13:03,752
435,68.17.81.83,01/03/2014 13:08,257
435,68.17.81.83,01/03/2014 13:13,735
435,68.17.81.83,01/03/2014 13:18,720
435,68.17.81.83,01/03/2014 13:23,439
435,68.17.81.83,01/03/2014 13:28,1365
435,114.79.247.223,01/03/2014 13:29,3851
435,68.17.81.83,01/03/2014 13:33,524
435,68.17.81.83,01/03/2014 13:38,592
435,68.17.81.83,01/03/2014 13:43,548
435,68.17.81.83,01/03/2014 13:48,297
435,68.17.81.83,01/03/2014 13:53,2425
435,68.17.81.83,01/03/2014 13:58,2018
435,68.17.81.83,01/03/2014 14:03,960
435,68.17.81.83,01/03/2014 14:08,1629
435,68.17.81.83,01/03/2014 14:13,682
435,68.17.81.83,01/03/2014 14:18,2177
435,68.17.81.83,01/03/2014 14:23,285
435,68.17.81.83,01/03/2014 14:28,864
435,68.17.81.83,01/03/2014 14:33,571
435,68.17.81.83,01/03/2014 14:38,2018
435,68.17.81.83,01/03/2014 14:43,1014
435,68.17.81.83,01/03/2014 14:48,859
435,51.70.255.188,01/03/2014 14:51,210
435,42.74.74.110,01/03/2014 14:52,229
435,68.17.81.83,01/03/2014 14:53,622
435,68.17.81.83,01/03/2014 14:58,7
435,68.17.81.83,01/03/2014 15:03,140
435,68.17.81.83,01/03/2014 15:08,665
435,68.17.81.83,01/03/2014 15:13,9
435,114.79.247.223,01/03/2014 15:17,830
435,68.17.81.83,01/03/2014 15:18,524
435,68.17.81.83,01/03/2014 15:23,148
435,68.17.81.83,01/03/2014 15:28,164
435,10.192.20.173,01/03/2014 15:30,1561
435,68.17.81.83,01/03/2014 15:33,1267
435,68.17.81.83,01/03/2014 15:38,127
435,68.17.81.83,01/03/2014 15:43,409
435,68.17.81.83,01/03/2014 15:48,152
435,68.17.81.83,01/03/2014 15:53,1388
435,68.17.81.83,01/03/2014 15:58,1816
435,68.17.81.83,01/03/2014 16:03,1205
435,68.17.81.83,01/03/2014 16:08,324
435,104.45.191.227,01/03/2014 16:10,2080
435,68.17.81.83,01/03/2014 16:13,1511
435,68.17.81.83,01/03/2014 16:18,2606
435,68.17.81.83,01/03/2014 16:23,876
435,114.79.247.223,01/03/2014 16:25,2490
435,68.17.81.83,01/03/2014 16:28,74
435,68.17.81.83,01/03/2014 16:33,658
435,68.17.81.83,01/03/2014 16:38,1795
435,68.17.81.83,01/03/2014 16:43,1415
435,68.17.81.83,01/03/2014 16:48,113
435,68.17.81.83,01/03/2014 16:53,1075
435,68.17.81.83,01/03/2014 16:58,2008
435,68.17.81.83,01/03/2014 17:03,781
435,68.17.81.83,01/03/2014 17:08,578
435,68.17.81.83,01/03/2014 17:13,266
435,68.17.81.83,01/03/2014 17:18,1310
435,68.17.81.83,01/03/2014 17:23,285
435,68.17.81.83,01/03/2014 17:28,620
435,68.17.81.83,01/03/2014 17:33,1197
435,68.17.81.83,01/03/2014 17:38,1155
435,68.17.81.83,01/03/2014 17:43,173
435,68.17.81.83,01/03/2014 17:48,705
435,68.17.81.83,01/03/2014 17:53,311
435,68.17.81.83,01/03/2014 17:58,586
435,68.17.81.83,01/03/2014 18:03,1092
435,68.17.81.83,01/03/2014 18:08,212
435,68.17.81.83,01/03/2014 18:13,1737
435,68.17.81.83,01/03/2014 18:18,711
435,68.17.81.83,01/03/2014 18:23,20
435,68.17.81.83,01/03/2014 18:28,1345
435,68.17.81.83,01/03/2014 18:33,1203
435,68.17.81.83,01/03/2014 18:38,1363
435,68.17.81.83,01/03/2014 18:43,656
435,68.17.81.83,01/03/2014 18:48,138
435,68.17.81.83,01/03/2014 18:53,324
435,68.17.81.83,01/03/2014 18:58,853
435,68.17.81.83,01/03/2014 19:03,2018
435,68.17.81.83,01/03/2014 19:08,8
435,68.17.81.83,01/03/2014 19:13,1049
435,68.17.81.83,01/03/2014 19:18,138
435,68.17.81.83,01/03/2014 19:23,1258
435,68.17.81.83,01/03/2014 19:28,1815
435,68.17.81.83,01/03/2014 19:33,383
435,68.17.81.83,01/03/2014 19:38,203
435,68.17.81.83,01/03/2014 19:43,2249
435,68.17.81.83,01/03/2014 19:48,1226
435,68.17.81.83,01/03/2014 19:53,20
435,68.17.81.83,01/03/2014 19:58,51
435,68.17.81.83,01/03/2014 20:03,326
435,68.17.81.83,01/03/2014 20:08,1375
435,68.17.81.83,01/03/2014 20:13,1086
435,68.17.81.83,01/03/2014 20:18,866
435,68.17.81.83,01/03/2014 20:23,709
435,42.74.74.110,01/03/2014 20:28,1045
435,68.17.81.83,01/03/2014 20:28,1451
435,68.17.81.83,01/03/2014 20:33,569
435,68.17.81.83,01/03/2014 20:38,182
435,68.17.81.83,01/03/2014 20:43,255
435,68.17.81.83,01/03/2014 20:48,2606
435,68.17.81.83,01/03/2014 20:53,374
435,68.17.81.83,01/03/2014 20:58,778
435,68.17.81.83,01/03/2014 21:03,1536
435,68.17.81.83,01/03/2014 21:08,429
435,68.17.81.83,01/03/2014 21:13,782
435,68.17.81.83,01/03/2014 21:18,266
435,68.17.81.83,01/03/2014 21:23,216
435,68.17.81.83,01/03/2014 21:28,137
435,68.17.81.83,01/03/2014 21:33,304
435,68.17.81.83,01/03/2014 21:38,506
435,68.17.81.83,01/03/2014 21:43,46
435,114.79.247.223,01/03/2014 21:43,1730
435,68.17.81.83,01/03/2014 21:48,160
435,68.17.81.83,01/03/2014 21:53,1546
435,68.17.81.83,01/03/2014 21:58,1705
435,68.17.81.83,01/03/2014 22:03,667
435,68.17.81.83,01/03/2014 22:08,682
435,68.17.81.83,01/03/2014 22:13,1439
435,68.17.81.83,01/03/2014 22:18,1831
435,68.17.81.83,01/03/2014 22:23,1161
435,68.17.81.83,01/03/2014 22:28,918
435,68.17.81.83,01/03/2014 22:33,875
435,68.17.81.83,01/03/2014 22:38,978
435,68.17.81.83,01/03/2014 22:43,661
435,68.17.81.83,01/03/2014 22:48,193
435,68.17.81.83,01/03/2014 22:53,150
435,68.17.81.83,01/03/2014 22:58,1058
435,68.17.81.83,01/03/2014 23:03,1161
435,68.17.81.83,01/03/2014 23:08,110
435,68.17.81.83,01/03/2014 23:13,251
435,68.17.81.83,01/03/2014 23:18,291
435,68.17.81.83,01/03/2014 23:23,27
435,68.17.81.83,01/03/2014 23:28,984
435,68.17.81.83,01/03/2014 23:33,297
435,68.17.81.83,01/03/2014 23:38,425
435,68.17.81.83,01/03/2014 23:43,2136
435,68.17.81.83,01/03/2014 23:48,656
435,68.17.81.83,01/03/2014 23:53,1457
435,68.17.81.83,01/03/2014 23:58,1611
435,68.17.81.83,01/04/2014 00:03,1290
435,68.17.81.83,01/04/2014 00:08,711
435,68.17.81.83,01/04/2014 00:13,189
435,68.17.81.83,01/04/2014 00:18,611
435,68.17.81.83,01/04/2014 00:23,245
435,68.17.81.83,01/04/2014 00:28,27
435,68.17.81.83,01/04/2014 00:33,189
435,68.17.81.83,01/04/2014 00:38,1586
435,68.17.81.83,01/04/2014 00:43,2177
435,68.17.81.83,01/04/2014 00:48,866
435,68.17.81.83,01/04/2014 00:53,897
435,68.17.81.83,01/04/2014 00:58,1421
435,68.17.81.83,01/04/2014 01:03,100
435,68.17.81.83,01/04/2014 01:08,1271
435,68.17.81.83,01/04/2014 01:13,731
435,68.17.81.83,01/04/2014 01:18,2606
435,68.17.81.83,01/04/2014 01:23,230
